run,sampled_lumi_VPDMB,prescale_VPDMB,lifetime_VPDMB,nevents_VPDMB,sampled_lumi_JP2,prescale_JP2,lifetime_JP2,nevents_JP2,JP2_weight
13048089,2.24569022266518e-07,23563.0,0.845919367512884,5614.0,0.0440149528560253,1.0,0.901392799489432,120223.0,1172.4667805924387
13048090,2.267475017177e-07,22041.59960938,0.852825793894618,5669.0,0.0420073719745006,1.0,0.908899914346203,112906.0,1179.4737497814515
13048091,2.25910894035604e-07,20843.0,0.823794246691828,5648.0,0.039913359525236,1.0,0.875737055082996,106043.0,1180.1246526697025
13048092,2.17209511285623e-07,19805.59960938,0.782056371873368,5430.0,9.24934967393277e-06,1.0,0.0002089754927388,98355.0,0.2921787865312904
13048093,5.25524567025525e-08,18398.19921875,0.776847700186476,1314.0,0.0013069974856994,1.0,0.1289972899729,22044.0,182.10630489355495
13049006,2.50332295446951e-07,23538.40039062,0.77132289413978,6258.0,6.3064786038737e-05,1.0,0.0009855711886614,186071.0,1.0115458908247215
13049007,9.313921759245951e-09,20730.40039062,0.296261810926358,233.0,3.78126753062583e-08,1.0,6.91464035983626e-06,7058.0,0.01597260974634843
13049031,2.22173994450224e-07,14863.0,0.853614341595187,5554.0,0.0302729176393352,1.0,0.907641953986226,85449.0,1027.2076087384082
13049032,1.01444680374943e-07,14483.0,0.852827352141867,2536.0,0.013482530461696,1.0,0.907553858740115,36889.0,1059.5517776116183
13049035,2.28142871233704e-07,14219.0,0.802407535935926,5704.0,0.0297164069246198,1.0,0.850315744407578,79711.0,1078.2402389825152
13049039,2.31255127083031e-07,13167.0,0.859798492940303,5781.0,0.0282326725260475,1.0,0.911999799857398,73190.0,1103.1539420593444
13049041,5.19935650724212e-08,12541.79980469,0.853034497688151,1299.0,0.0060759336104331,1.0,0.906202723146747,15846.0,1092.2149874964118
13049042,1.91003727828504e-07,12255.20019531,0.843307224346287,4773.0,0.0219222611232389,1.0,0.894522350223021,55959.0,1108.7848285082769
13049044,1.75832212959067e-07,11771.79980469,0.701711962352281,4396.0,0.0194279099749442,1.0,0.743891076312705,49709.0,1103.610931924427
13049045,2.32229220192574e-07,11388.59960938,0.854604417984989,5805.0,0.024878946761637,1.0,0.907033569632481,64090.0,1094.8144082330684
13049046,2.32033919634868e-07,11391.40039062,0.857029831156459,5801.0,0.0249659329087698,1.0,0.909814361986891,63117.0,1111.4514154844844
13049047,2.33729300477491e-07,10984.20019531,0.802722945106435,5842.0,0.0242463968865408,1.0,0.849610411372078,61048.0,1112.5324838258368
13049048,1.9621878746412e-07,10929.79980469,0.862052672101382,4905.0,0.0203591126829679,1.0,0.914504919216536,50856.0,1118.3075685089532
13049049,1.90297675429102e-07,10370.20019531,0.671994208809604,4757.0,0.0185292607008128,1.0,0.696632578196356,46704.0,1094.9756573190557
13049072,2.1588544609334e-07,29515.0,0.838875144578655,5397.0,0.052895713331335,1.0,0.895247273339146,176336.0,964.0507589257779
13049073,2.30749954361312e-07,25325.59960938,0.835449200813807,5769.0,0.0488309840285921,1.0,0.893204183753626,144919.0,1077.8681711323907
13049080,2.37972099974993e-07,21718.80078125,0.84087564172295,5949.0,0.0443023741018559,1.0,0.89774946353923,121333.0,1136.9052107324444
13049081,2.36284976136794e-07,20657.80078125,0.837542281706089,5907.0,0.0420001688260659,1.0,0.892486373750766,115217.0,1128.5721948179837
13049082,2.72211675115993e-07,19537.19921875,0.821285032659314,6805.0,0.0462867749088771,1.0,0.877851087848213,125570.0,1131.7004373843752
13049093,2.35391295126929e-07,15768.40039062,0.817492047861421,5884.0,0.033108520466772,1.0,0.868730724316555,87348.0,1128.7791589903836
13049094,2.35415548644661e-07,15259.0,0.839009388403635,5885.0,0.0322696607098041,1.0,0.892456564767979,85412.0,1118.3401494464852
13049096,9.29705885747391e-08,14758.20019531,0.816647041097281,2324.0,0.0123737842429502,1.0,0.870127353266888,31513.0,1159.6533849168989
13049098,2.35932907396601e-07,14173.59960938,0.841061854761133,5898.0,0.0302247553800959,1.0,0.89281295172015,77480.0,1145.322682001945
13049099,2.30430434318404e-07,13679.79980469,0.822875335669833,5760.0,0.0287588234543112,1.0,0.876905254071735,77497.0,1083.5175782043655
13049101,2.31274544692585e-07,13133.40039062,0.839026547657832,5781.0,0.0278269041752422,1.0,0.893196886710868,74607.0,1083.3582002038245
13050001,1.85264397160997e-07,12939.40039062,0.82247881118445,4632.0,0.0219624932412849,1.0,0.871185248608648,57229.0,1109.3084976096752
13050006,2.60339047159019e-07,30563.59960938,0.725665451855104,6508.0,0.0606361468462356,1.0,0.708758376718006,261967.0,741.5957236180386
13050009,1.90628296676978e-07,22109.40039062,0.858704190248242,4766.0,0.0353331975179846,1.0,0.916439071062016,105855.0,1062.3793987423285
13050011,2.43128796128552e-07,20739.0,0.856604872359198,6078.0,0.0427786976563316,1.0,0.914830660067975,123161.0,1093.0385315370802
13050012,2.452773274324e-07,19734.0,0.859031151767315,6132.0,0.0413822716275324,1.0,0.916358276608053,116027.0,1112.5373507372828
13050015,2.46338033246795e-08,18039.19921875,0.838709958018082,616.0,0.0038298597793573,1.0,0.888764432190246,10730.0,1097.4206086733093
13050016,3.83624382543358e-08,17793.80078125,0.836507677403273,959.0,0.0059190744770671,1.0,0.889523498694517,16723.0,1085.0771936224544
13050020,2.44263180286772e-07,16672.80078125,0.855567318738406,6107.0,0.0355957802231218,1.0,0.910240540939994,98880.0,1095.5444695478977
13050022,2.42899184901081e-07,16215.40039062,0.840828936018026,6072.0,0.0345467271141676,1.0,0.893282380956863,95290.0,1097.724182834704
13050023,2.4367005184082e-07,15598.40039062,0.80607341746979,6092.0,0.0336680439220661,1.0,0.859798716675579,90370.0,1121.599661503186
13050028,1.53707259447545e-07,14637.79980469,0.858732557416043,3842.0,0.0201136757631464,1.0,0.912788541353915,51984.0,1149.9414287269442
13050029,2.18532990288603e-07,14252.79980469,0.851517659299559,5481.0,0.0281095228370441,1.0,0.904503958908104,73308.0,1131.9452697537056
